id,user_id,event_id,star_rating
215,kkr68hSnSuUzBBNtEdQd6D5yR7q1,24,5
218,5nw3RW15xrNsnP7IV4RQxrwAVyV2,24,5
220,m4TQ7GCtGHcwEJ2RrdckFE7zC032,24,5
221,y7WABLtphXZAYEdTQP0a4kITDRk1,24,5
222,X44NGVEQtGWdDplURJAMAfJz53u1,24,4
225,LytIZiWyFjdms3jRdMRG0awsHTM2,24,5
223,zvnyy8yi8KOq99mc2J3dQGOIuU72,24,1
226,EBMn0DQ8Vkgby7tOKZwAJkcGN6C2,24,4
213,f72r7Mq97kQNYApU8RotlXyAplb2,24,5
229,427t9tGWuDfiBTgumXsesDogzW33,24,2
231,uv7pJlCN4YVJXgV4LWQlCRDaEfA3,29,4
232,Zi3EeOwAJBeWnAPVDYh3BItBZE82,29,5
235,29fpl2NcfrhYHrDFi16hs6gVdpG3,29,5
230,panEIybCmbdbUgS3qw3MHxkdzLN2,29,5
236,icXqHxUP4BXGF7XyzcQYbY8sWXE2,29,4
238,I3fFIakFcwQ8scCk4CpsLhoclnG3,29,4
239,DXNXCizbIPT0FGmRtaqSSQ267wn1,29,4
234,snXG2LEuM1RHuy3I4QfHjau4nnl1,29,4
237,xkJN0XDpMDaM1HoFnG9Ic1dDcQW2,29,4
244,j5TcUrM52NS5mS3kZB3urdNmslV2,29,4
248,cgHwGGEzATVqxDlSZ9M2HIbtij32,25,5
249,cOYub7V8ngcStEvxCjXSVifJWrF3,25,4
252,ald4v9Rmhqg4d0Redwq5KgQuRfE2,25,5
253,GoY82JZHZBdBGNB9Ouc4ajFNQXP2,25,5
255,tWDktVXR50cAViN0JZh7hb2hEK32,25,4
256,SqLidJzZ16fM0RRr2KV0qAg6SzN2,25,5
258,JysbH1WZFOYzydDVGvJ1Yl55qHt1,25,3
259,qqVAASFC3gWQTG1f17VitG6SZRa2,25,5
265,pv1d2WtWYDh9z28ofERqzJ7mFFy1,25,2
266,B8SdIltYg9WiYknsvIudtEAiznt2,33,5
269,fI6GSMJevGb33t5nIsLhYLPDxJj2,33,5
270,KhtIWbrHXUaL7p2xynMRMPKcq472,33,5
271,V9TM3iagrHgWcigo2zdQlhReTef1,33,4
267,YC7iz2tEsQdM7SVfpXNRBAneCu13,33,4
273,0D5e9dhRlTSO35zTqbEqcLeTaqD2,33,5
274,Hywu1TxX0UX4jHnmNvyPiOgA2Dk1,33,4
276,oht7drsqzwaSKdAPClzr6FkI7Kf2,33,2
279,ZGx02YaIlyR6XGldNyPgg1U3oKi1,33,5
280,kibdpvISsqeC14ZpZKoRZXhhVu22,33,3
281,h0kbqQSPVKUCbuqVA6gwH1Oo6XD3,33,4
282,E5UctELW1XNEldUhjWeHcd2qKov1,30,5
283,04MXwBOgzzU2uZPLOqDjBnHTwJI2,30,5
285,As9C7T6g5HOLUzMqlY9FO3lmEb53,30,4
286,MagEn3kQYJYwCqNtrOh4plkUiZy2,30,5
288,L6KQUmTtxbS5tvEtfRRYi6rJ2Ll1,30,5
289,HXDEWimRnkR3xmxWcLfmoq7fHij2,30,4
295,q8IAJLyDUDY6Sb3SA9GTNo0UgPx2,30,5
293,jr6uNud7xhfqo8BN77bfYMK83MD3,30,2
292,mm5VOnf9ygZfv0l7hvYUeG1jrUX2,30,4
297,eU1vPlT8gGUhqPWhxRZWqCO7zlf1,30,1
300,vYnYoflPjDYuQV8rscE4Rv2mRu03,26,5
302,U1Psu7MI22M00yp0PnQYtY6WWXr2,26,5
298,NBVYjd4IhjSktTQLMOwZuPohNky2,26,5
307,kKMZIrL4RoZBwCclI8trlKuEEgI2,26,5
310,9C4K57VbIpXTzr4q4cSFGgknmHW2,26,5
311,7FQuZ1P3ndcaLMbVuOrXerifSKy1,26,5
312,qp9wySnBNzTXuPyPDIzos4GgwUk1,31,5
313,HyrhgWBm5jYkIgdUq047BqrjqwL2,31,4
314,5FyiJs0SgqTCZsYToF4XKrru2JW2,31,4
315,a0uo5x5DgRQfg5URf1sdKYaorvk2,31,5
316,9yvYgbKFLqfRGU0nCd0VHFD2qrD3,31,5
317,8dUXBzyTGbRrbxdVixqMyQe9Oem2,31,3
319,dvcjjWSexee8iq3TcH9POJcUDCW2,31,2
318,9xHruMtenYPg1HRPimnAzKUsncl1,31,5
320,nnvchvLi9fU1FzStdwHfNvMZFq73,31,5
321,4u3WceTrXwYodjBf0Y6d0svv6mZ2,31,5
322,PLn6RVk3McOpmvt8aymB82lf9qV2,31,5
324,KMFcTrLMirN3HM2egYVEPH7160K3,31,4
371,Gk8KOS6Sn0gYqWTJqYfQLqEuua43,36,5
325,oh5RSDw7Vwh8bJOCFhRYyiPsjgR2,31,5
326,R6ZpvCuqe0fFripOCJiq0Z6FP1a2,34,5
329,oCYeaDGGoISgnMb8Jyk2ifk24pB2,34,4
332,HzvIszMd10Tj9WN4cFlfRyiHzw32,34,5
331,uAlRPLrKnuXPu6FIyZ7nNmoYkIm1,34,5
333,2rYR86LI1bfAzLDkNgKTreRyIbx2,34,5
334,iXrJsf9p5aTqURCQqPNf5eiEoRJ3,34,5
327,s8dSi0CvbrgavgGFlup7XPbY17m1,34,4
337,J31WUHhCqNMYnzyEQk5QqprVz2V2,34,5
341,eqKsezTdqcbeL3UEeG3yaQxvdot2,34,5
340,B3x92okVN7NhFRTeZhXpLETO5Yr2,34,5
342,4MD8eXL3ajVhS8JofktPnpwvm7P2,34,4
343,icXqHxUP4BXGF7XyzcQYbY8sWXE2,34,4
345,SInRRaplCmQzwKmhNJGuNFmFwRx2,34,2
338,iBxYGd4iJPXFl0SzcwHiLwxzGX22,34,3
347,ja4w1Z3XdBYliGdCeo5SpjT03hO2,27,1
351,M7m7HBaKxEXsOIFeRjd8RAiHeFq2,27,2
352,CgOsu3fA6KTsDCcijoe4WpQLDJJ2,27,4
354,cgHwGGEzATVqxDlSZ9M2HIbtij32,27,5
355,7FQuZ1P3ndcaLMbVuOrXerifSKy1,27,5
357,ald4v9Rmhqg4d0Redwq5KgQuRfE2,27,5
360,ZGx02YaIlyR6XGldNyPgg1U3oKi1,36,5
362,7WZqqrtQ6ca2Wj9mxd0jutVNe842,36,5
363,EGB9cEG8Y1OeBF8mverEZ8Sf2Ds1,36,5
365,Ffl2cX8YaUMVLo8Wr6Asc5q16uh1,36,4
364,AxLCIg5EwxNITHSDnZvMN4PyqH82,36,5
366,QQzweS6DsXajgwUwf4tubdgSHPS2,36,5
367,sDN33mpb1OVdXg1z6hTgxzpu3b62,36,5
361,iDX1FCBBkCODAgokZitDEon2KOt1,36,4
